Game_Title,Est_Downloads,Game_Id
SubwaySurfers,1000000000,com.kiloo.subwaysurf
AmongUs,100000000,com.innersloth.spacemafia
Roblox,100000000,com.roblox.client
TilesHopEDMRush,100000000,com.amanotes.beathopper
CallofDutyMobile,100000000,com.activision.callofduty.shooter
CoinMaster,100000000,com.moonactive.coinmaster
MyTalkingTomFriends,100000000,com.outfit7.mytalkingtomfriends
DancingRoadColorBallRun,100000000,com.amanotes.pamadancingroad
HappyColorColorbyNumber,100000000,com.pixel.art.coloring.color.number
MagicTiles3,100000000,com.youmusic.magictiles
JoinClash3D,50000000,com.freeplay.runandfight
ScribbleRider,50000000,com.tapped.drawrider
EmojiPuzzle,10000000,com.demin.emojipuzzle
ColorRoll3D,10000000,com.game.colorroll3d
PullHimOut,10000000,com.stx.pullhimout
TocaLifeWorldBuildstoriescreateyourworld,10000000,com.tocaboca.tocalifeworld
CubeSurfer,10000000,com.Atinon.PassOver
Yesthatdress,10000000,com.zjcgame.superdress
WordCollectFreeWordGames,10000000,com.platinumplayer.word.addict
TieDye,10000000,com.crazylabs.tie.dye.art
ClueHunter,10000000,com.zjcgame.cluehunter
PuppyTownMergeWin,10000000,com.puppy.merge.town
Match3DMatchingPuzzleGame,10000000,com.loop.match3d
FruitClinic,10000000,com.lightningstrikegames.fruitsurgeon
HarvestioFarmingArcadein3D,10000000,com.harvest.io
BrainWashAmazingJigsawThinkingGame,10000000,com.hwg.sos
TangleMaster3D,10000000,com.rollic.tanglemaster3D
GenshinImpact,5000000,com.miHoYo.GenshinImpact
MultiCraftBuildandMine,5000000,com.multicraft.game
BeatBlader3DDashandSlash,5000000,com.ihd.beatsaber
PaintDropper,5000000,com.kayac.paint_dropper
SlingshotStuntDriver,5000000,com.slingshot.car
PawnShopMaster,1000000,com.alphapotato.pawnshopmaster
HouseLife3D,1000000,com.flamingogamestudio.parentlife3d
WhoisBrainTeaserRiddles,1000000,com.unicostudio.whois
HarryPotterPuzzlesSpells,1000000,com.zynga.pottermatch
Demolish,1000000,com.LightBeam.Demolish
MiniFootballMobileSoccer,1000000,com.miniclip.minifootball
StairwaytoHeaven,1000000,com.casual.stairwaytoheaven
Drawmaster,1000000,com.romank.drawmasters
PinRescuepullthepin,1000000,com.noxgroup.game.pinrescue.android
WaterSortPuzzle,1000000,com.gma.water.sort.puzzle
IdlePoliceTycoonCopsGame,1000000,com.codigames.idle.police.department.tycoon.cop
HeyGirl,500000,com.barsstudios.getthegirl
PoliceOfficer,500000,com.rooster.policeofficer
PapersGradePlease,100000,com.hyperdivestudio.papersgradeplease
RacerKing,100000,com.smallbeautiful.racerking
BlastCity,100000,com.suziegames.rocketsunset
PaintPuzzle,100000,com.riefeiphai.paintpuzzle
AnimalWarfare,100000,com.playsidestudios.animal
