Game_Title,Est_Downloads,Game_Id
CandyCrushSaga,1000000000,com.king.candycrushsaga
ClashofClans,500000000,com.supercell.clashofclans
GarenaFreeFireBOOYAHDay,500000000,com.dts.freefireth
CoinMaster,100000000,com.moonactive.coinmaster
Roblox,100000000,com.roblox.client
PokmonGO,100000000,com.nianticlabs.pokemongo
Gardenscapes,100000000,com.playrix.gardenscapes
Homescapes,100000000,com.playrix.homescapes
PUBGMOBILENEWERA,100000000,com.tencent.ig
Fishdom,100000000,com.playrix.fishdomdd.gplay
CandyCrushSodaSaga,100000000,com.king.candycrushsodasaga
LordsMobileKingdomWars,100000000,com.igg.android.lordsmobile
Township,100000000,com.playrix.township
CallofDutyMobile,100000000,com.activision.callofduty.shooter
MarvelContestofChampions,100000000,com.kabam.marvelbattle
SlotomaniaFreeSlotsCasinoSlotMachineGames,50000000,air.com.playtika.slotomania
ToonBlast,50000000,net.peakgames.toonblast
SummonersWar,50000000,com.com2us.smon.normal.freefull.google.kr.android.common
MafiaCity,50000000,com.yottagames.mafiawar
MatchingtonMansion,50000000,com.matchington.mansion
ToyBlast,50000000,net.peakgames.amy
StarWarsGalaxyofHeroes,50000000,com.ea.game.starwarscapital_row
MARVELStrikeForceSquadRPG,10000000,com.foxnextgames.m3
BingoBlitzBingoGames,10000000,air.com.buffalo_studios.newflashbingo
RAIDShadowLegends,10000000,com.plarium.raidlegends
LastShelterSurvival,10000000,com.more.dayzsurvival.gp
JackpotPartyCasinoGamesSpinFREECasinoSlots,10000000,com.williamsinteractive.jackpotparty
StateofSurvivalSurvivetheZombieApocalypse,10000000,com.kingsgroup.sos
EmpiresPuzzlesEpicMatch3,10000000,com.smallgiantgames.empires
KingofAvalonDominion,10000000,com.funplus.kingofavalon
RiseofKingdomsLostCrusade,10000000,com.lilithgame.roc.gp
MergeDragons,10000000,com.gramgames.mergedragons
LilysGarden,10000000,dk.tactile.lilysgarden
CashFrenzyCasinoFreeSlotsGames,10000000,slots.pcg.casino.games.free.android
POPSlotsPlayVegasCasinoSlotMachines,10000000,com.playstudios.popslots
CashmanCasinoVegasSlotMachines2MFree,10000000,com.productmadness.cashmancasino
AFKArena,10000000,com.lilithgame.hgame.gp
HuuugeCasinoSlotsBestSlotMachines,10000000,com.huuuge.casino.slots
GolfClash,10000000,com.playdemic.golf.android
GunsofGloryBuildanEpicArmyfortheKingdom,10000000,com.diandian.gog
VegasSlotsDoubleDownCasino,10000000,com.ddi
GameofThronesConquestStrategyGame,10000000,com.wb.goog.got.conquest
SolitaireTriPeaksPlayFreeSolitaireCardGames,10000000,com.gsn.android.tripeaks
DoubleUCasinoFreeSlots,10000000,com.doubleugames.DoubleUCasino
HouseofFunFreeSlotsCasinoSlotsMachines,10000000,com.pacificinteractive.HouseOfFun
HeroWarsHeroFantasyMultiplayerBattles,10000000,com.nexters.herowars
YuGiOhDuelLinks,10000000,jp.konami.duellinks
GenshinImpact,5000000,com.miHoYo.GenshinImpact
StarTrekFleetCommand,5000000,com.scopely.startrek
LotsaSlotsFreeVegasCasinoSlotMachines,5000000,com.diamondlife.slots.vegas.free
