Game_Title,Est_Downloads,Game_Id
Minecraft,10000000,com.mojang.minecraftpe
HitmanSniper,10000000,com.squareenixmontreal.hitmansniperandroid
TrueSkate,5000000,com.trueaxis.trueskate
BloonsTD6,1000000,com.ninjakiwi.bloonstd6
GrandTheftAutoSanAndreas,1000000,com.rockstargames.gtasa
GeometryDash,1000000,com.robtopx.geometryjump
FiveNightsatFreddys,1000000,com.scottgames.fivenightsatfreddys
Terraria,1000000,com.and.games505.TerrariaPaid
StardewValley,1000000,com.chucklefish.stardewvalley
DraSticDSEmulator,1000000,com.dsemu.drastic
MyBoyGBAEmulator,1000000,com.fastemulator.gba
FiveNightsatFreddys2,1000000,com.scottgames.fnaf2
TheRoom,1000000,com.FireproofStudios.TheRoom
RFSRealFlightSimulator,1000000,it.rortos.realflightsimulator
AssassinsCreedIdentity,1000000,com.ubisoft.assassinscreed.identity
ePSXeforAndroid,1000000,com.epsxe.ePSXe
BloonsTD5,1000000,com.ninjakiwi.bloonstd5
GrandTheftAutoViceCity,1000000,com.rockstargames.gtavc
MiniMetro,1000000,nz.co.codepoint.minimetro
ScribblenautsRemix,1000000,com.wb.goog.scribbleremix
TheRoomTwo,1000000,com.FireproofStudios.TheRoom2
Evertale,1000000,com.zigzagame.evertale
MonumentValley,1000000,com.ustwo.monumentvalley
MonopolyBoardgameclassicaboutrealestate,500000,com.marmalade.monopoly
Clue,500000,com.marmalade.cluedogame
TheGameofLife,500000,com.marmalade.golmobile
ExplodingKittensOfficial,500000,com.explodingkittens.projectbombsquad
60SecondsAtomicAdventure,500000,com.robotgentleman.game60seconds
InfiniteFlightFlightSimulator,500000,com.fds.infiniteflight
UltimateCustomNight,100000,com.clickteam.ultimatecustomnight
FiveNightsatFreddysSL,100000,com.scottgames.sisterlocation
HumanFallFlat,100000,com.and.games505.humanfallflat
MuseDash,100000,com.prpr.musedash
FNaF6PizzeriaSimulator,100000,com.clickteam.freddyfazbearspizzeriasimulator
FarmingSimulator20,100000,com.giantssoftware.fs20.google
FiveNightsatFreddys4,100000,com.scottgames.fnaf4
NBA2K20,100000,com.t2ksports.nba2k20and
CallofDutyBlackOpsZombies,100000,com.activision.boz
JohnGBAGBAemulator,100000,com.johnemulators.johngba
FiveNightsatFreddys3,100000,com.scottgames.fnaf3
RollerCoasterTycoonClassic,100000,com.atari.mobile.rctclassic
BendyandtheInkMachine,100000,com.jds.batim
AlienBlackout,100000,com.D3Go.mendel
PolyBridge,100000,com.drycactus.polybridge
RustedWarfareRTSStrategy,100000,com.corrodinggames.rts
GameDevTycoon,100000,com.greenheartgames.gdt
THEGAMEOFLIFE2Morechoicesmorefreedom,50000,com.marmalade.gol2
TLPro,50000,com.pixelcurves.terlauncher
DeadCells,50000,com.playdigious.deadcells.mobile
MeteorfallKrumitsTale,5000,com.slothwerks.krumit
