Game_name, appid, Min Owners, Max Owners
Counter-Strike: Global Offensive,730,100000000,200000000
Dota 2,570,50000000,100000000
Team Fortress 2,440,50000000,100000000
PLAYERUNKNOWN'S BATTLEGROUNDS,578080,20000000,50000000
Unturned,304930,20000000,50000000
Warframe,230410,20000000,50000000
Grand Theft Auto V,271590,20000000,50000000
Tom Clancy's Rainbow Six Siege,359550,20000000,50000000
Left 4 Dead 2,550,20000000,50000000
Terraria,105600,20000000,50000000
Brawlhalla,291550,20000000,50000000
Among Us,945360,20000000,50000000
Garry's Mod,4000,20000000,50000000
Half-Life 2: Lost Coast,340,10000000,20000000
War Thunder,236390,10000000,20000000
Paladins,444090,10000000,20000000
Serena,272060,10000000,20000000
PAYDAY 2,218620,10000000,20000000
Path of Exile,238960,10000000,20000000
Borderlands 2,49520,10000000,20000000
Heroes & Generals,227940,10000000,20000000
Rust,252490,10000000,20000000
Guacamelee! Super Turbo Championship Edition,275390,10000000,20000000
World of Warships,552990,10000000,20000000
Warface,291480,10000000,20000000
Robocraft,301520,10000000,20000000
Rocket League,252950,10000000,20000000
Black Squad,550650,10000000,20000000
Portal 2,620,10000000,20000000
Trove,304050,10000000,20000000
Z1 Battle Royale,433850,10000000,20000000
Destiny 2,1085660,10000000,20000000
SMITE,386360,10000000,20000000
Wallpaper Engine,431960,10000000,20000000
Monster Hunter: World,582010,10000000,20000000
Half-Life Deathmatch: Source,360,10000000,20000000
ARK: Survival Evolved,346110,10000000,20000000
Half-Life 2: Deathmatch,320,10000000,20000000
Grim Dawn,219990,10000000,20000000
GRID 2,44350,10000000,20000000
Sid Meier's Civilization V,8930,5000000,10000000
Street Warriors Online,417910,5000000,10000000
The Tiny Bang Story,96000,5000000,10000000
The Elder Scrolls V: Skyrim,72850,5000000,10000000
The Witcher 3: Wild Hunt,292030,5000000,10000000
Life is Strange 2,532210,5000000,10000000
Ring of Elysium,755790,5000000,10000000
PlanetSide 2,218230,5000000,10000000
Human: Fall Flat,477160,5000000,10000000
Kathy Rain,370910,5000000,10000000
